Year,Conference,Team,Playoff_Finish
1994,East,New York Knicks,Finals
1994,East,Atlanta Hawks,2nd Round
1994,East,Chicago Bulls,2nd Round
1994,East,Orlando Magic,1st Round
1994,East,Indiana Pacers,Conf. Finals
1994,East,Cleveland Cavaliers,1st Round
1994,East,New Jersey Nets,1st Round
1994,East,Miami Heat,1st Round
1994,East,Charlotte Hornets,Missed Playoffs
1994,East,Boston Celtics,Missed Playoffs
1994,East,Philadelphia 76ers,Missed Playoffs
1994,East,Washington Bullets,Missed Playoffs
1994,East,Milwaukee Bucks,Missed Playoffs
1994,East,Detroit Pistons,Missed Playoffs
1994,West,Seattle SuperSonics,1st Round
1994,West,Houston Rockets,Champion
1994,West,Phoenix Suns,2nd Round
1994,West,San Antonio Spurs,1st Round
1994,West,Utah Jazz,Conf. Finals
1994,West,Golden State Warriors,1st Round
1994,West,Portland Trail Blazers,1st Round
1994,West,Denver Nuggets,2nd Round
1994,West,Los Angeles Lakers,Missed Playoffs
1994,West,Sacramento Kings,Missed Playoffs
1994,West,Los Angeles Clippers,Missed Playoffs
1994,West,Minnesota Timberwolves,Missed Playoffs
1994,West,Dallas Mavericks,Missed Playoffs
1995,East,Orlando Magic,Finals
1995,East,New York Knicks,2nd Round
1995,East,Indiana Pacers,Conf. Finals
1995,East,Charlotte Hornets,1st Round
1995,East,Chicago Bulls,2nd Round
1995,East,Cleveland Cavaliers,1st Round
1995,East,Atlanta Hawks,1st Round
1995,East,Boston Celtics,1st Round
1995,East,Milwaukee Bucks,Missed Playoffs
1995,East,Miami Heat,Missed Playoffs
1995,East,New Jersey Nets,Missed Playoffs
1995,East,Detroit Pistons,Missed Playoffs
1995,East,Philadelphia 76ers,Missed Playoffs
1995,East,Washington Bullets,Missed Playoffs
1995,West,San Antonio Spurs,Conf. Finals
1995,West,Utah Jazz,1st Round
1995,West,Phoenix Suns,2nd Round
1995,West,Seattle SuperSonics,1st Round
1995,West,Los Angeles Lakers,2nd Round
1995,West,Houston Rockets,Champion
1995,West,Portland Trail Blazers,1st Round
1995,West,Denver Nuggets,1st Round
1995,West,Sacramento Kings,Missed Playoffs
1995,West,Dallas Mavericks,Missed Playoffs
1995,West,Golden State Warriors,Missed Playoffs
1995,West,Minnesota Timberwolves,Missed Playoffs
1995,West,Los Angeles Clippers,Missed Playoffs
1996,East,Chicago Bulls,Champion
1996,East,Orlando Magic,Conf. Finals
1996,East,Indiana Pacers,1st Round
1996,East,New York Knicks,2nd Round
1996,East,Cleveland Cavaliers,1st Round
1996,East,Atlanta Hawks,2nd Round
1996,East,Detroit Pistons,1st Round
1996,East,Miami Heat,1st Round
1996,East,Charlotte Hornets,Missed Playoffs
1996,East,Washington Bullets,Missed Playoffs
1996,East,Boston Celtics,Missed Playoffs
1996,East,New Jersey Nets,Missed Playoffs
1996,East,Milwaukee Bucks,Missed Playoffs
1996,East,Toronto Raptors,Missed Playoffs
1996,East,Philadelphia 76ers,Missed Playoffs
1996,West,Seattle SuperSonics,Finals
1996,West,San Antonio Spurs,2nd Round
1996,West,Utah Jazz,Conf. Finals
1996,West,Los Angeles Lakers,1st Round
1996,West,Houston Rockets,2nd Round
1996,West,Portland Trail Blazers,1st Round
1996,West,Phoenix Suns,1st Round
1996,West,Sacramento Kings,1st Round
1996,West,Golden State Warriors,Missed Playoffs
1996,West,Denver Nuggets,Missed Playoffs
1996,West,Los Angeles Clippers,Missed Playoffs
1996,West,Minnesota Timberwolves,Missed Playoffs
1996,West,Dallas Mavericks,Missed Playoffs
1996,West,Vancouver Grizzlies,Missed Playoffs
1997,East,Chicago Bulls,Champion
1997,East,Miami Heat,Conf. Finals
1997,East,New York Knicks,2nd Round
1997,East,Atlanta Hawks,2nd Round
1997,East,Detroit Pistons,1st Round
1997,East,Charlotte Hornets,1st Round
1997,East,Orlando Magic,1st Round
1997,East,Washington Bullets,1st Round
1997,East,Cleveland Cavaliers,Missed Playoffs
1997,East,Indiana Pacers,Missed Playoffs
1997,East,Milwaukee Bucks,Missed Playoffs
1997,East,Toronto Raptors,Missed Playoffs
1997,East,New Jersey Nets,Missed Playoffs
1997,East,Philadelphia 76ers,Missed Playoffs
1997,East,Boston Celtics,Missed Playoffs
1997,West,Utah Jazz,Finals
1997,West,Houston Rockets,Conf. Finals
1997,West,Seattle SuperSonics,2nd Round
1997,West,Los Angeles Lakers,2nd Round
1997,West,Portland Trail Blazers,1st Round
1997,West,Minnesota Timberwolves,1st Round
1997,West,Phoenix Suns,1st Round
1997,West,Los Angeles Clippers,1st Round
1997,West,Sacramento Kings,Missed Playoffs
1997,West,Golden State Warriors,Missed Playoffs
1997,West,Dallas Mavericks,Missed Playoffs
1997,West,Denver Nuggets,Missed Playoffs
1997,West,San Antonio Spurs,Missed Playoffs
1997,West,Vancouver Grizzlies,Missed Playoffs
1998,East,Chicago Bulls,Champion
1998,East,Indiana Pacers,Conf. Finals
1998,East,Miami Heat,1st Round
1998,East,Charlotte Hornets,2nd Round
1998,East,Atlanta Hawks,1st Round
1998,East,Cleveland Cavaliers,1st Round
1998,East,New York Knicks,2nd Round
1998,East,New Jersey Nets,1st Round
1998,East,Washington Wizards,Missed Playoffs
1998,East,Orlando Magic,Missed Playoffs
1998,East,Detroit Pistons,Missed Playoffs
1998,East,Boston Celtics,Missed Playoffs
1998,East,Milwaukee Bucks,Missed Playoffs
1998,East,Philadelphia 76ers,Missed Playoffs
1998,East,Toronto Raptors,Missed Playoffs
1998,West,Utah Jazz,Finals
1998,West,Seattle SuperSonics,2nd Round
1998,West,Los Angeles Lakers,Conf. Finals
1998,West,San Antonio Spurs,2nd Round
1998,West,Phoenix Suns,1st Round
1998,West,Portland Trail Blazers,1st Round
1998,West,Minnesota Timberwolves,1st Round
1998,West,Houston Rockets,1st Round
1998,West,Sacramento Kings,Missed Playoffs
1998,West,Dallas Mavericks,Missed Playoffs
1998,West,Vancouver Grizzlies,Missed Playoffs
1998,West,Golden State Warriors,Missed Playoffs
1998,West,Los Angeles Clippers,Missed Playoffs
1998,West,Denver Nuggets,Missed Playoffs
1999,East,Miami Heat,1st Round
1999,East,Orlando Magic,1st Round
1999,East,Indiana Pacers,Conf. Finals
1999,East,Atlanta Hawks,2nd Round
1999,East,Detroit Pistons,1st Round
1999,East,Philadelphia 76ers,2nd Round
1999,East,Milwaukee Bucks,1st Round
1999,East,New York Knicks,Finals
1999,East,Charlotte Hornets,Missed Playoffs
1999,East,Toronto Raptors,Missed Playoffs
1999,East,Cleveland Cavaliers,Missed Playoffs
1999,East,Boston Celtics,Missed Playoffs
1999,East,Washington Wizards,Missed Playoffs
1999,East,New Jersey Nets,Missed Playoffs
1999,East,Chicago Bulls,Missed Playoffs
1999,West,San Antonio Spurs,Champion
1999,West,Utah Jazz,2nd Round
1999,West,Portland Trail Blazers,Conf. Finals
1999,West,Houston Rockets,1st Round
1999,West,Los Angeles Lakers,2nd Round
1999,West,Phoenix Suns,1st Round
1999,West,Sacramento Kings,1st Round
1999,West,Minnesota Timberwolves,1st Round
1999,West,Seattle SuperSonics,Missed Playoffs
1999,West,Golden State Warriors,Missed Playoffs
1999,West,Dallas Mavericks,Missed Playoffs
1999,West,Denver Nuggets,Missed Playoffs
1999,West,Los Angeles Clippers,Missed Playoffs
1999,West,Vancouver Grizzlies,Missed Playoffs
2000,East,Indiana Pacers,Finals
2000,East,Miami Heat,2nd Round
2000,East,New York Knicks,Conf. Finals
2000,East,Philadelphia 76ers,2nd Round
2000,East,Charlotte Hornets,1st Round
2000,East,Toronto Raptors,1st Round
2000,East,Detroit Pistons,1st Round
2000,East,Milwaukee Bucks,1st Round
2000,East,Orlando Magic,Missed Playoffs
2000,East,Boston Celtics,Missed Playoffs
2000,East,Cleveland Cavaliers,Missed Playoffs
2000,East,New Jersey Nets,Missed Playoffs
2000,East,Washington Wizards,Missed Playoffs
2000,East,Atlanta Hawks,Missed Playoffs
2000,East,Chicago Bulls,Missed Playoffs
2000,West,Los Angeles Lakers,Champion
2000,West,Portland Trail Blazers,Conf. Finals
2000,West,Utah Jazz,2nd Round
2000,West,San Antonio Spurs,1st Round
2000,West,Phoenix Suns,2nd Round
2000,West,Minnesota Timberwolves,1st Round
2000,West,Seattle SuperSonics,1st Round
2000,West,Sacramento Kings,1st Round
2000,West,Dallas Mavericks,Missed Playoffs
2000,West,Denver Nuggets,Missed Playoffs
2000,West,Houston Rockets,Missed Playoffs
2000,West,Vancouver Grizzlies,Missed Playoffs
2000,West,Golden State Warriors,Missed Playoffs
2000,West,Los Angeles Clippers,Missed Playoffs
2001,East,Philadelphia 76ers,Finals
2001,East,Milwaukee Bucks,Conf. Finals
2001,East,Miami Heat,1st Round
2001,East,New York Knicks,1st Round
2001,East,Toronto Raptors,2nd Round
2001,East,Charlotte Hornets,2nd Round
2001,East,Orlando Magic,1st Round
2001,East,Indiana Pacers,1st Round
2001,East,Boston Celtics,Missed Playoffs
2001,East,Detroit Pistons,Missed Playoffs
2001,East,Cleveland Cavaliers,Missed Playoffs
